epoch,loss,mse,val_loss,val_mse
0,2.8496668097135185,2.8496659,2.7939631938934326,2.7939632
1,2.7327550230799496,2.7327552,2.6788554191589355,2.6788554
2,2.625291883945465,2.6252923,2.5777578353881836,2.5777578
3,2.5316502145818762,2.5316503,2.4903461933135986,2.4903462
4,2.468069588815844,2.46807,2.4289562702178955,2.4289563
5,2.426229327111631,2.4262288,2.391570806503296,2.3915708
6,2.3981385279346155,2.3981383,2.361149549484253,2.3611495
7,2.376301626901369,2.3763006,2.338723659515381,2.3387237
8,2.3605853448042997,2.3605857,2.3231985569000244,2.3231986
9,2.3469304361858883,2.3469305,2.31080961227417,2.3108096
10,2.3368653751708366,2.336865,2.29905104637146,2.299051
11,2.3279711451079392,2.3279712,2.2919247150421143,2.2919247
12,2.320137241402188,2.3201365,2.2833235263824463,2.2833235
13,2.3122206088658928,2.312221,2.276329517364502,2.2763295
14,2.307461585547473,2.3074613,2.2703566551208496,2.2703567
15,2.301313746619869,2.301314,2.2665300369262695,2.26653
16,2.2979079718525344,2.2979085,2.2626900672912598,2.26269
17,2.2924431651025206,2.292443,2.2605443000793457,2.2605443
18,2.2893047864372664,2.2893043,2.2535040378570557,2.253504
19,2.286043769604451,2.2860436,2.250293493270874,2.2502935
20,2.2811682014851957,2.2811682,2.2466773986816406,2.2466774
21,2.278736299759633,2.2787364,2.244155168533325,2.2441552
22,2.2760827138617232,2.276082,2.2426838874816895,2.242684
23,2.272556335539431,2.2725558,2.2366771697998047,2.2366772
24,2.271055819215001,2.2710567,2.2352840900421143,2.235284
25,2.2681817702344946,2.2681818,2.2315094470977783,2.2315094
26,2.2644271850585938,2.2644274,2.229477882385254,2.229478
27,2.2633606582074552,2.2633607,2.227658987045288,2.227659
28,2.2605855142748035,2.260585,2.2251315116882324,2.2251315
29,2.257974782505551,2.2579744,2.2254514694213867,2.2254515
30,2.2569436728954315,2.2569435,2.221240758895874,2.2212408
31,2.2549731828070976,2.2549732,2.2199409008026123,2.219941
32,2.253413615999995,2.253414,2.22057843208313,2.2205784
33,2.25228190905339,2.2522826,2.216817855834961,2.2168179
34,2.250549554824829,2.250549,2.2162816524505615,2.2162817
35,2.249590142353161,2.24959,2.2147765159606934,2.2147765
36,2.24670377534789,2.2467039,2.211092948913574,2.211093
37,2.2464119727547103,2.246412,2.210554599761963,2.2105546
38,2.2441092882607436,2.2441087,2.2099404335021973,2.2099404
39,2.243488366539414,2.243489,2.2083775997161865,2.2083776
40,2.2420477166369155,2.242048,2.2075183391571045,2.2075183
41,2.2411478218194603,2.2411475,2.204272747039795,2.2042727
42,2.2387275542761826,2.2387278,2.203994035720825,2.203994
43,2.238590991980321,2.2385917,2.2011666297912598,2.2011666
44,2.23670062583846,2.2367008,2.2013051509857178,2.2013052
45,2.23661306017154,2.236613,2.1991946697235107,2.1991947
46,2.234431064612157,2.23443,2.198521137237549,2.1985211
47,2.234729308534313,2.2347288,2.1989424228668213,2.1989424
48,2.2325097958783844,2.2325103,2.196769952774048,2.19677
49,2.231849667993752,2.2318501,2.1948463916778564,2.1948464
