epoch,loss,mse,val_loss,val_mse
0,2.81927234578777,2.8192718,2.7200145721435547,2.7200146
1,2.5941018671602816,2.5941014,2.4850449562072754,2.485045
2,2.3935364565333805,2.3935356,2.295574188232422,2.2955742
3,2.2751608603709452,2.2751613,2.1989142894744873,2.1989143
4,2.1989723443984985,2.1989722,2.133159875869751,2.1331599
5,2.151861716766615,2.1518614,2.093081474304199,2.0930815
6,2.1146103667246328,2.1146104,2.062983274459839,2.0629833
7,2.088709173170296,2.0887094,2.0374228954315186,2.037423
8,2.0674735944013336,2.0674734,2.0224175453186035,2.0224175
9,2.0483527352681032,2.0483525,2.0027410984039307,2.002741
10,2.035064513618882,2.035064,1.9887804985046387,1.9887805
11,2.0217057820912956,2.0217052,1.973815679550171,1.9738157
12,2.0100843705035545,2.0100849,1.9662388563156128,1.9662389
13,2.000548303932757,2.0005488,1.9579252004623413,1.9579252
14,1.9927897960753054,1.9927899,1.952222466468811,1.9522225
15,1.9846620720786017,1.9846623,1.9452992677688599,1.9452993
16,1.9778386660524316,1.9778385,1.9359718561172485,1.9359719
17,1.9708958783665218,1.9708954,1.9303339719772339,1.930334
18,1.9644234438200254,1.9644237,1.922567367553711,1.9225674
19,1.95931267416155,1.9593122,1.9159349203109741,1.9159349
20,1.953896850347519,1.9538968,1.915615439414978,1.9156154
21,1.9495114281370833,1.9495112,1.906908392906189,1.9069084
22,1.9441744443532583,1.9441743,1.9080920219421387,1.908092
23,1.939766801692344,1.9397669,1.9047681093215942,1.9047681
24,1.937177342337531,1.9371771,1.9010251760482788,1.9010252
25,1.9332180885044303,1.9332186,1.9022818803787231,1.9022819
26,1.9287045058366414,1.928704,1.89589262008667,1.8958926
27,1.925594360441775,1.925594,1.889374852180481,1.8893749
28,1.9223084570588291,1.9223076,1.8885908126831055,1.8885908
29,1.9186900668853037,1.9186901,1.8817414045333862,1.8817414
30,1.9159771558400747,1.9159774,1.8803554773330688,1.8803555
31,1.9137067190698676,1.9137073,1.878934621810913,1.8789346
32,1.9112805643597164,1.9112811,1.8758147954940796,1.8758148
33,1.908641839349592,1.9086419,1.8759437799453735,1.8759438
34,1.9054291336923033,1.9054292,1.8743985891342163,1.8743986
35,1.9042167921324034,1.9042174,1.8697230815887451,1.8697231
36,1.9008841562915493,1.9008836,1.8681845664978027,1.8681846
37,1.8987339404789176,1.8987345,1.868990182876587,1.8689902
38,1.8976323226013698,1.8976326,1.8633840084075928,1.863384
39,1.8945809344987612,1.8945807,1.8615775108337402,1.8615775
40,1.8928502943064716,1.8928512,1.8598905801773071,1.8598906
41,1.890165677747211,1.8901656,1.8631677627563477,1.8631678
