epoch,loss,mse,val_loss,val_mse
0,2.8745300818133996,2.8745308,2.854682445526123,2.8546824
1,2.8504928769292057,2.850493,2.84181809425354,2.841818
2,2.838995293990986,2.8389952,2.8276469707489014,2.827647
3,2.8217036256919035,2.8217034,2.8066728115081787,2.8066728
4,2.8017139402595728,2.801713,2.785599946975708,2.7856
5,2.7843547608401322,2.7843552,2.769273042678833,2.769273
6,2.770801716559642,2.770802,2.7592978477478027,2.7592978
7,2.760922680029998,2.7609222,2.7515172958374023,2.7515173
8,2.75392596624993,2.753926,2.7437357902526855,2.7437358
9,2.747497046315992,2.747497,2.7368428707122803,2.7368429
10,2.740669873920647,2.7406695,2.730674982070923,2.730675
11,2.7363201685853906,2.7363203,2.726102590560913,2.7261026
12,2.7310598589278556,2.7310598,2.7225303649902344,2.7225304
13,2.7287896871566772,2.7287898,2.7198448181152344,2.7198448
14,2.7273293830252983,2.7273288,2.7179129123687744,2.717913
15,2.7244769463667997,2.7244759,2.716029167175293,2.7160292
16,2.7239953633901237,2.7239954,2.714524269104004,2.7145243
17,2.723188076470349,2.7231877,2.7131612300872803,2.7131612
18,2.720478798892047,2.7204778,2.711845636367798,2.7118456
19,2.7203533246710494,2.7203531,2.710542678833008,2.7105427
20,2.718154446498768,2.7181547,2.7085700035095215,2.70857
21,2.7170150392764323,2.717015,2.706205368041992,2.7062054
22,2.7148688097257874,2.714868,2.7045342922210693,2.7045343
23,2.7144182856018477,2.7144182,2.7030715942382812,2.7030716
24,2.712250484002603,2.712251,2.701598882675171,2.701599
25,2.711137304434905,2.7111378,2.7007875442504883,2.7007875
26,2.7094494845416093,2.70945,2.699859857559204,2.6998599
27,2.708393707468703,2.7083936,2.6985340118408203,2.698534
28,2.7076724429388306,2.707672,2.697739362716675,2.6977394
29,2.7069230772353507,2.7069232,2.696826934814453,2.696827
30,2.704712413452767,2.7047124,2.6960055828094482,2.6960056
31,2.705833762078672,2.7058344,2.6953437328338623,2.6953437
32,2.7038923260327934,2.7038925,2.6946215629577637,2.6946216
33,2.703458794065424,2.703459,2.6941356658935547,2.6941357
34,2.7028485004966325,2.7028482,2.693342924118042,2.693343
35,2.7020083891378865,2.7020078,2.6928112506866455,2.6928113
36,2.701912467544143,2.7019129,2.692044258117676,2.6920443
37,2.701546045573982,2.7015462,2.6915841102600098,2.691584
38,2.6994509632522994,2.699451,2.6910078525543213,2.6910079
39,2.7012221346030363,2.7012217,2.6905176639556885,2.6905177
40,2.6985242189587773,2.6985242,2.6901803016662598,2.6901803
41,2.6980151534080505,2.698015,2.6895995140075684,2.6895995
42,2.6991173141711466,2.699117,2.6891090869903564,2.689109
43,2.697722869950372,2.697722,2.6885151863098145,2.6885152
44,2.6967954104011125,2.6967952,2.6881401538848877,2.6881402
45,2.6967185316859066,2.6967187,2.687901020050049,2.687901
46,2.6969528439882637,2.6969523,2.6873161792755127,2.6873162
47,2.6964456310143343,2.6964457,2.6869702339172363,2.6869702
48,2.6957036095696525,2.695704,2.686749219894409,2.6867492
49,2.694913392131393,2.6949136,2.6863343715667725,2.6863344
50,2.6959918769630224,2.695992,2.6865434646606445,2.6865435
51,2.6941164619213827,2.6941166,2.6859705448150635,2.6859705
52,2.6950544473287223,2.695054,2.68575382232666,2.6857538
53,2.694844311959035,2.6948442,2.685584306716919,2.6855843
54,2.694297010834153,2.6942976,2.6850366592407227,2.6850367
55,2.6944446934236064,2.6944447,2.685101270675659,2.6851013
56,2.6929217641418046,2.6929214,2.68473219871521,2.6847322
57,2.693301278191644,2.6933012,2.6844632625579834,2.6844633
58,2.692685808684375,2.6926854,2.6846039295196533,2.684604
59,2.693672397652188,2.6936722,2.6842164993286133,2.6842165
60,2.692574581584415,2.6925743,2.6843082904815674,2.6843083
61,2.69304206886807,2.6930425,2.6839866638183594,2.6839867
62,2.69347364354778,2.6934736,2.6836483478546143,2.6836483
63,2.693178969460565,2.6931787,2.6837515830993652,2.6837516
64,2.6931947050867855,2.6931946,2.683687210083008,2.6836872
65,2.6922945976257324,2.6922948,2.683802843093872,2.6838028
66,2.692367859788843,2.6923687,2.683183193206787,2.6831832
67,2.6925713661554695,2.6925707,2.6835057735443115,2.6835058
68,2.692080434915182,2.6920807,2.6831459999084473,2.683146
69,2.692010265749854,2.6920104,2.682508707046509,2.6825087
70,2.6916760206222534,2.6916766,2.682279109954834,2.682279
71,2.692082596791757,2.6920826,2.6824004650115967,2.6824005
72,2.6905964693507634,2.6905963,2.682166337966919,2.6821663
73,2.6914030184616915,2.6914027,2.6821224689483643,2.6821225
74,2.6918010743888647,2.691801,2.68161940574646,2.6816194
75,2.690682291984558,2.6906822,2.6815929412841797,2.681593
76,2.6910638035954655,2.6910634,2.681490898132324,2.681491
77,2.689795813044986,2.6897957,2.6812565326690674,2.6812565
78,2.6896362191921956,2.6896362,2.6813676357269287,2.6813676
79,2.690089449689195,2.6900895,2.680968999862671,2.680969
80,2.6892086380236857,2.6892092,2.681438446044922,2.6814384
81,2.6900650456145003,2.690065,2.6807260513305664,2.680726
82,2.6883236556439787,2.6883247,2.6802897453308105,2.6802897
83,2.69019769494598,2.690198,2.680365562438965,2.6803656
84,2.690184454660158,2.6901839,2.6804075241088867,2.6804075
85,2.6884156014468217,2.6884153,2.6805405616760254,2.6805406
86,2.6907640131744177,2.6907651,2.680131435394287,2.6801314
87,2.688502662890666,2.6885023,2.679999351501465,2.6799994
88,2.6894641196405566,2.6894634,2.6797642707824707,2.6797643
89,2.688743932827099,2.6887434,2.6801884174346924,2.6801884
90,2.689008301979787,2.6890082,2.6797096729278564,2.6797097
91,2.6885186095495484,2.6885185,2.6796047687530518,2.6796048
92,2.6875092999355212,2.6875083,2.6794700622558594,2.67947
93,2.6892277695037223,2.6892273,2.6793508529663086,2.6793509
94,2.6889392056980648,2.6889393,2.679321765899658,2.6793218
95,2.6882993756113827,2.6882994,2.679542064666748,2.679542
96,2.6893651485443115,2.6893656,2.6794140338897705,2.679414
97,2.6883732370428137,2.688373,2.6786487102508545,2.6786487
98,2.6878231586636723,2.6878233,2.678781270980835,2.6787813
99,2.6877938492878064,2.6877947,2.678654193878174,2.6786542
100,2.687817842573733,2.6878178,2.678675889968872,2.678676
101,2.686281383037567,2.6862817,2.6793079376220703,2.679308
102,2.68772746582289,2.6877275,2.6785953044891357,2.6785953
103,2.6881987388069564,2.688199,2.679403066635132,2.679403
104,2.6872108111510404,2.6872106,2.67844295501709,2.678443
105,2.687495259014336,2.6874957,2.6785731315612793,2.6785731
106,2.6879193073994405,2.6879191,2.6785402297973633,2.6785402
107,2.687378124610798,2.6873784,2.6789379119873047,2.678938
108,2.687193798052298,2.6871936,2.6782195568084717,2.6782196
109,2.6863146585387154,2.6863148,2.6783223152160645,2.6783223
110,2.68793652025429,2.6879365,2.677891969680786,2.677892
111,2.687194297442565,2.687195,2.67767071723938,2.6776707
112,2.6878159513344637,2.6878164,2.677427053451538,2.677427
113,2.6859273330585376,2.685927,2.6774561405181885,2.6774561
114,2.686499036647178,2.6864989,2.678239107131958,2.678239
115,2.686051131905736,2.6860514,2.677389621734619,2.6773896
116,2.687349470886024,2.6873488,2.6781697273254395,2.6781697
117,2.6877002265002274,2.6876996,2.677685499191284,2.6776855
118,2.6857295874002816,2.68573,2.677459955215454,2.67746
119,2.6861388361131824,2.686139,2.6777188777923584,2.6777189
120,2.686098611032641,2.6860979,2.677344799041748,2.6773448
121,2.687304778678997,2.6873055,2.677351951599121,2.677352
122,2.6870843961432174,2.687085,2.6777544021606445,2.6777544
123,2.6847757632667952,2.684776,2.6773059368133545,2.677306
124,2.6869374835813367,2.6869369,2.6767892837524414,2.6767893
125,2.685183916542981,2.6851835,2.677130937576294,2.677131
126,2.6854607817288993,2.6854606,2.677530288696289,2.6775303
127,2.6855112137021244,2.6855104,2.676522970199585,2.676523
128,2.685481757731051,2.6854823,2.676304578781128,2.6763046
129,2.6858282057014673,2.685828,2.67621111869812,2.676211
130,2.686839255126747,2.6868384,2.6763174533843994,2.6763175
131,2.684372674774479,2.684373,2.6767234802246094,2.6767235
132,2.684537033776979,2.684538,2.6763529777526855,2.676353
133,2.6878527725065076,2.6878521,2.6763033866882324,2.6763034
134,2.6846259655179203,2.6846259,2.676521062850952,2.676521
135,2.6861956538380802,2.6861966,2.6769354343414307,2.6769354
136,2.682931614888681,2.682932,2.676575183868408,2.6765752
137,2.6865284314026705,2.6865284,2.6758174896240234,2.6758175
138,2.685107619375796,2.6851084,2.6760404109954834,2.6760404
139,2.6849777617970028,2.6849778,2.6757640838623047,2.675764
140,2.6833884426065393,2.6833882,2.675480842590332,2.6754808
141,2.6845158193562484,2.6845157,2.6754066944122314,2.6754067
142,2.6843235669909298,2.6843235,2.675633668899536,2.6756337
143,2.685456876819198,2.685457,2.675349712371826,2.6753497
144,2.6850981309607223,2.6850977,2.6753487586975098,2.6753488
145,2.6840520887761503,2.6840522,2.675368070602417,2.675368
146,2.6842570997573234,2.684257,2.6755564212799072,2.6755564
147,2.684624088777078,2.684624,2.675830125808716,2.6758301
148,2.6854452265275492,2.6854455,2.6750223636627197,2.6750224
149,2.6842206571553207,2.6842206,2.6750800609588623,2.67508
150,2.684747797411841,2.6847482,2.675668716430664,2.6756687
151,2.6852133354625187,2.6852133,2.6749603748321533,2.6749604
152,2.6837603224290385,2.6837597,2.6751668453216553,2.6751668
153,2.684443096856813,2.684443,2.674936056137085,2.674936
154,2.6839146791277706,2.683915,2.6750547885894775,2.6750548
155,2.683905699768582,2.683906,2.6748945713043213,2.6748946
156,2.683867050183786,2.6838665,2.674769878387451,2.6747699
157,2.683766149185799,2.6837666,2.6749844551086426,2.6749845
158,2.6834447834942794,2.6834443,2.6750175952911377,2.6750176
159,2.684221103384688,2.684221,2.6748170852661133,2.674817
160,2.6818982459403373,2.6818986,2.6748366355895996,2.6748366
161,2.683866710276217,2.6838665,2.6749842166900635,2.6749842
162,2.6837659880921647,2.6837668,2.6748175621032715,2.6748176
163,2.683920267465952,2.6839194,2.674751043319702,2.674751
164,2.6832343903747766,2.6832347,2.674722671508789,2.6747227
165,2.6836257721926713,2.683626,2.6757068634033203,2.6757069
166,2.68380925300959,2.683808,2.6753756999969482,2.6753757
167,2.683185823865839,2.683186,2.6747798919677734,2.67478
168,2.682980281275672,2.6829803,2.675299882888794,2.6753
169,2.683418244928927,2.6834185,2.674769878387451,2.6747699
170,2.683302544258736,2.6833029,2.674813985824585,2.674814
171,2.682843416123777,2.6828437,2.675682783126831,2.6756828
172,2.6833197474479675,2.6833193,2.6755282878875732,2.6755283
173,2.6834593705228857,2.6834588,2.6745686531066895,2.6745687
174,2.6826022412325883,2.6826026,2.6750082969665527,2.6750083
175,2.6841793334161914,2.684178,2.6750667095184326,2.6750667
176,2.6834341690347,2.6834342,2.6748805046081543,2.6748805
177,2.6838133045144983,2.683813,2.6744542121887207,2.6744542
178,2.683202540552294,2.683202,2.6745874881744385,2.6745875
179,2.683195426657393,2.6831949,2.674915313720703,2.6749153
180,2.6830929984917513,2.683093,2.674638271331787,2.6746383
181,2.683563917069822,2.6835642,2.6749894618988037,2.6749895
182,2.6829965307905868,2.6829963,2.674483060836792,2.674483
183,2.683233404481733,2.6832335,2.674532890319824,2.674533
184,2.681533428462776,2.6815333,2.6744163036346436,2.6744163
185,2.6841855629070386,2.684186,2.674201726913452,2.6742017
186,2.6823607264338314,2.6823604,2.6743342876434326,2.6743343
187,2.6832153845477746,2.6832156,2.6745777130126953,2.6745777
188,2.6829227354075456,2.6829224,2.674661159515381,2.6746612
189,2.6830545470521256,2.6830552,2.6738998889923096,2.6739
190,2.6826316392099536,2.6826313,2.6745707988739014,2.6745708
191,2.6826996642190055,2.6827002,2.673738956451416,2.673739
192,2.683528983915174,2.683529,2.6738667488098145,2.6738667
193,2.683347663363895,2.683347,2.67388916015625,2.6738892
194,2.6830954600024866,2.6830962,2.6739108562469482,2.6739109
195,2.6829025278220304,2.6829026,2.6735610961914062,2.673561
196,2.682094669019854,2.682095,2.673508882522583,2.673509
197,2.6832324636949076,2.6832323,2.6737897396087646,2.6737897
198,2.6817973803829505,2.6817975,2.6738879680633545,2.673888
199,2.6824500447994954,2.6824496,2.673769235610962,2.6737692
200,2.6824066848368258,2.6824074,2.673703193664551,2.6737032
201,2.6824317735594674,2.6824327,2.673708915710449,2.673709
202,2.682580282559266,2.6825805,2.674041271209717,2.6740413
203,2.682442839081223,2.6824434,2.673520803451538,2.6735208
204,2.6824436590478227,2.6824443,2.6738131046295166,2.673813
205,2.6829826493520996,2.6829824,2.674424886703491,2.674425
206,2.6821507441030965,2.6821501,2.67337965965271,2.6733797
207,2.682007040526416,2.682008,2.674058675765991,2.6740587
208,2.6821982328956193,2.682198,2.6741268634796143,2.6741269
209,2.681637606105289,2.6816378,2.6736347675323486,2.6736348
210,2.6840253713968636,2.6840248,2.673203945159912,2.673204
211,2.6819510894852714,2.6819513,2.6736979484558105,2.673698
212,2.681541769891172,2.6815422,2.673081636428833,2.6730816
213,2.682415751186577,2.682415,2.6731631755828857,2.6731632
214,2.6814971904496887,2.6814973,2.672900676727295,2.6729007
215,2.6829213854428886,2.6829207,2.6735403537750244,2.6735404
216,2.6830554008483887,2.6830556,2.6738314628601074,2.6738315
217,2.6809723022821785,2.680973,2.673332691192627,2.6733327
218,2.680982269145347,2.6809819,2.67392897605896,2.673929
219,2.681534717211852,2.681535,2.6738791465759277,2.6738791
220,2.6823721189756653,2.6823719,2.6732890605926514,2.673289
221,2.682837144748585,2.6828368,2.673553228378296,2.6735532
222,2.6828639636168607,2.6828642,2.6732258796691895,2.6732259
223,2.68150403531822,2.6815033,2.673147678375244,2.6731477
224,2.6838523036724813,2.6838524,2.6727511882781982,2.6727512
225,2.682006396151878,2.682007,2.67317271232605,2.6731727
226,2.6817978974935173,2.681797,2.6730332374572754,2.6730332
227,2.681955780531909,2.6819565,2.673642635345459,2.6736426
